Investor Name
Shun NagaoVenture PartnerWhite Star Capital
Bruno Meireles de SousaVenture PartnerCargill Tech Ventures
Paul WojcikManaging PartnerBeofor Financial
Ryan CollinsManaging DirectorMassMutual Ventures
Evelyn HohInvestment AssociateGeneral Atlantic
Len Yue YangInvestment AnalystGobi Partners
Manav GuptaFounder & CEOBrinc.io
Silvia ManakCorporate Development & StrategyTwitter
Edward ChyauManaging PartnerMesh Ventures
Lucy FungAsia RepresentativeAXA Venture Partners
Svetlana VitevaInvestorBaillie Gifford
Henry PhanVP of FinanceMedialab.AI
Julia HolzgreveDirector of Innovation Scouting & Strategic PartnershipsKeen Innovation
Jeffrey ChuaSenior AssociateGolden Gate Ventures
Franck PicardCEOPicard Investments
Ilaria ChanGroup Advisor on Impact InvestmentsGrab.com
David L CermakPrincipalVanguard Investments
John KW LeuCo-Founder & Executive DirectorClover Infinite Capital Ventures
Brian KimManaging PartnerAgilify Investment & Consulting
Christopher FisherManaging PartnerClick Ventures
Yuan Lee ChungVC InvestorSusquehanna International Group
Doug RussellManaging DirectorMassMutual Ventures
Benjamin RohéFounderGERMANTECH
Renu BhatiaCo-founderAsia Fintech Angels
Ludwig PrellerCEOGERMANTECH
Lionel BelenFounderBrainSparks
Claire ChauvelInvestor/ Managing PartnerRopner Fredriks
Pedro MontRetail Director - Angel InvestorPlatanitos
"Jason EdgarHead of Strategy and Growth Partnerships, AsiaMetLife"
Chan WalkerCo-founder & PartnerVenn Ventures
Rishabh GolchhaAngel Investor & Founding MemberVenture Catalysts
Sasha BernierSVPCheltenham Enterprises
Apoorv Ranjan SharmaDirectorVenture Catalysts
Harold OngManaging DirectorIndies Capital Partners
Kelvin GohGeneral CounselOpenspace Ventures
Kelvin LeungInvestmentOpenspace Ventures
"Tanveer GillHead, Institutional CapitalMasan Group"
Akira ShiramasaCEOCCC Photo Lifelab
Von LamCo-founder & Managing PartnerFalcon Partners
Archana JahagirdarCEOAngelworks
Chawimon LarbprasertpornAngel InvestorThip Capital
Artie LopezCo-founder / InvestorBrainsparks
Esther Yi BianInvestorBeenext Ventures
Ricordias DominiDirectorNamalo Persada
Stanley StephenVice PresidentMentorX Incubation And Advisory Services
Joshua OonAssociate DirectorStandard Chartered
Zack NgCEOClover Infinite Capital Venture
Yanyan HeCEOP3 Innovation
Max BurgerDirectorGolien
Supisa LarbprasertpornAngel InvestorThip Capital
Yiu Ting TsoiFounding PartnerHB-Ventures
Melissa Larson YoungbloodFounding PartnerVenn Ventures
Kin Nam YauOperations AssociateBeam
David NiallCOOSprint Capital Partners
Rashmin DondaDirector4 Mosquitoes Investments
Yosakorn ChaiwatanayonAssociateBualuang Ventures Limited
Vichaya CharoensiriwatanaSenior AssociateBualuang Ventures
Michihiro MuramatsuCreative DirectorCCC Photolife Lab Inc.
Christian UbbesenFounderUbbesen Invest
"Claire CuiPartnerRichmond Corporate Finance, M&A Advisory Inc."
Cloud PangCEO GlobalSynturn Capital
Adrien GheurCo-Founder & Managing PartnerMaloekoe Ventures
Shannon Lee ChaluangcoTeam LeadC31 Ventures (CapitaLand)
Joseph LiPrincipalHarbourVest
Karena BelinFounder & COOAngelHub
Pritish SanyalHead of Partnerships | India ExpansionAngelHub | WHub
Maryani AwangSenior ManagerMAVCAP
Mariam Jamilah HishamuddinManagerMAVCAP
Syafiq  ShamsuddinManagerMAVCAP
Ali AbdulhussainAssociateIDO Investments
Henry ChoiHead of Global InvestmentHana Ventures
Paul OngAssociate DirectorInnoVen Capital
Fabio BraitHead of Business Development AsiaLufthansa Innovation Hub
Keith  KohManagerRickoh Holdings Sdn Bhd
Tim StekkingerSenior Venture Development ManagerPanalpina
Kirill PelekhManaging PartnerBabylon Ventures
Thorsten SchroederManaging DirectorTGI Far East Ltd
Michal PaulenInnovations & PartnershipsHB Reavis
Matthias HoyerManaging PartnerHOYER Handel GmbH
Ding FanStart-Up Visa ProgramInnovacorp
Ben CheahAssociate DirectorInnoVen Capital
Jason ChangPartnerACE Capital
Shannon ChowPrincipalHamilton Lane
Kelvin TanInvestorACE Capital
Pamela FungPrincipal & Executive DirectorMorgan Stanley
"Tonghathai KuvanontManaging PartnerAimspire co.,Ltd"
Dennis YeFounderReality Detector
Charlton MakVCSaltagen Ventures
Romulo PeriniManaging PartnerPlay Intellectual Capital
Cris GamboaExecutive DirectorHexagon Group
Richard WainwrightCEORAIN Asia Group
Thom DickersonGlobal Business Executive - AsiaFirst Derivatives
Jacqueline LimManaging DirectorSprint Capital Partners Limited
Ramom AzevedoDirectorFundep
Jessica ToEquity TraderBank of China
Soonhee KimPartnerDFCapital
Nancy WangAssociateLapidary Limited
Orapim Luang-onManaging DirectorAimspire
Farah FauziCustomer Success ManagerTechstars
Amber LiDirectorEuto Capital Partners Limited
Patricia PoonDirectorBelmond Capital
Mark InksterChief Business OfficerBeam Mobility
Poh Chung FongFund ManagerSPARX
Victor LarionovCEOPriority Token
Jervis NgExecutive Assistant to the Executive DirectorHexagon Group of Companies
"Akiyuki NomuraCEOEst rouge, inc."
Edwina YeoPartnerTanglin Venture Partners
Andy CanizaresVCangel
Andre BetkerChief Investment OfficerFBM Crowdtech
"Jahongirbek BurhonovVice President, Business DevelopmentQatar Financial Centre"
Hamad Al-NasrBusiness Development AnalystQatar Financial Centre
Wei Zhi ChinInvestment DirectorOnicorn Venture Capital
Larrina ChinInvestorVenture Capital & Private Equity
Jacqueline WooCEOCharteron
Ade SandaCEOSG5 Capital Ltd
Aaron RuVenture InvestorNaspers
Vincent TanPortfolio DirectorD4V
Reika MatsuuraDentsu Innovation InitiativeDentsu Inc.
Kanako InoueD4VPortfolio Director
Rachel WangSenior StrategistRGAX LLC
Elsa HuExecutive DirectorGP Bullhound
Seksom SuriyapaVP and Head of Corporate Development & StrategyTwitter
Shoichiro SuzukiGeneral ManagerRakuten Capital
Estefania AlmeidaPortfolio ManagerBrinc.io
Gabriel Jr SingsonCEOOak Drive Ventures Inc.
Vitavin IttipanuvatHead of InvestmentBeacon Venture Capital
Joseph ThiaInvestment ManagerBurda Principal Investments
"Tomoyuki SugiyamaFounder CEOCROWD CREDIT, Inc."
Kean Zen LiewInvestmentGobi Partners
Leo WongManaging DirectorRGAX LLC
Hajime SakoInvestment AssociateRakuten Capital
Nejteh DemirianPMFountainhead Partners Company Limited
Tim Simon Funk副部长Kostal
Kevin WongManagerFountainhead Partners Company Limited
Yosuke YamadaSenior Investment ManagerRakuten Capital
Leo ChiuChief Technology OfficerClick Ventures
David LaiDirectorAktivolabs
Miguel Angel GonzalezDeputy General ManagerKOSTAL
Jens WalterManaging DirectorUnderdog Ventures
